image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC_0024310,1,0,0,0,0,0,0
ISIC_0024313,1,0,0,0,0,0,0
ISIC_0024315,1,0,0,0,0,0,0
ISIC_0024323,1,0,0,0,0,0,0
ISIC_0024333,1,0,0,0,0,0,0
ISIC_0024351,1,0,0,0,0,0,0
ISIC_0024367,1,0,0,0,0,0,0
ISIC_0024400,1,0,0,0,0,0,0
ISIC_0024410,1,0,0,0,0,0,0
ISIC_0024449,1,0,0,0,0,0,0
ISIC_0024459,1,0,0,0,0,0,0
ISIC_0024481,1,0,0,0,0,0,0
ISIC_0024482,1,0,0,0,0,0,0
ISIC_0024496,1,0,0,0,0,0,0
ISIC_0024516,1,0,0,0,0,0,0
ISIC_0024525,1,0,0,0,0,0,0
ISIC_0024537,1,0,0,0,0,0,0
ISIC_0024545,1,0,0,0,0,0,0
ISIC_0024546,1,0,0,0,0,0,0
ISIC_0024552,1,0,0,0,0,0,0
ISIC_0024554,1,0,0,0,0,0,0
ISIC_0024571,1,0,0,0,0,0,0
ISIC_0024586,1,0,0,0,0,0,0
ISIC_0024624,1,0,0,0,0,0,0
ISIC_0024630,1,0,0,0,0,0,0
ISIC_0024640,1,0,0,0,0,0,0
ISIC_0024644,1,0,0,0,0,0,0
ISIC_0024647,1,0,0,0,0,0,0
ISIC_0024652,1,0,0,0,0,0,0
ISIC_0024675,1,0,0,0,0,0,0
ISIC_0024679,1,0,0,0,0,0,0
ISIC_0024688,1,0,0,0,0,0,0
ISIC_0024700,1,0,0,0,0,0,0
ISIC_0024701,1,0,0,0,0,0,0
ISIC_0024702,1,0,0,0,0,0,0
ISIC_0024729,1,0,0,0,0,0,0
ISIC_0024732,1,0,0,0,0,0,0
ISIC_0024733,1,0,0,0,0,0,0
ISIC_0024739,1,0,0,0,0,0,0
ISIC_0024756,1,0,0,0,0,0,0
ISIC_0024767,1,0,0,0,0,0,0
ISIC_0024792,1,0,0,0,0,0,0
ISIC_0024805,1,0,0,0,0,0,0
ISIC_0024806,1,0,0,0,0,0,0
ISIC_0024823,1,0,0,0,0,0,0
ISIC_0024853,1,0,0,0,0,0,0
ISIC_0024864,1,0,0,0,0,0,0
ISIC_0024865,1,0,0,0,0,0,0
ISIC_0024875,1,0,0,0,0,0,0
ISIC_0024886,1,0,0,0,0,0,0
ISIC_0024898,1,0,0,0,0,0,0
ISIC_0024900,1,0,0,0,0,0,0
ISIC_0024911,1,0,0,0,0,0,0
ISIC_0024918,1,0,0,0,0,0,0
ISIC_0024929,1,0,0,0,0,0,0
ISIC_0024930,1,0,0,0,0,0,0
ISIC_0024932,1,0,0,0,0,0,0
ISIC_0024940,1,0,0,0,0,0,0
ISIC_0024951,1,0,0,0,0,0,0
ISIC_0024952,1,0,0,0,0,0,0
ISIC_0024958,1,0,0,0,0,0,0
ISIC_0024961,1,0,0,0,0,0,0
ISIC_0024962,1,0,0,0,0,0,0
ISIC_0024967,1,0,0,0,0,0,0
ISIC_0024972,1,0,0,0,0,0,0
ISIC_0024987,1,0,0,0,0,0,0
ISIC_0024999,1,0,0,0,0,0,0
ISIC_0025018,1,0,0,0,0,0,0
ISIC_0025035,1,0,0,0,0,0,0
ISIC_0025081,1,0,0,0,0,0,0
ISIC_0025085,1,0,0,0,0,0,0
ISIC_0025097,1,0,0,0,0,0,0
ISIC_0025105,1,0,0,0,0,0,0
ISIC_0025121,1,0,0,0,0,0,0
ISIC_0025127,1,0,0,0,0,0,0
ISIC_0025128,1,0,0,0,0,0,0
ISIC_0025132,1,0,0,0,0,0,0
ISIC_0025145,1,0,0,0,0,0,0
ISIC_0025153,1,0,0,0,0,0,0
ISIC_0025155,1,0,0,0,0,0,0
ISIC_0025188,1,0,0,0,0,0,0
ISIC_0025195,1,0,0,0,0,0,0
ISIC_0025219,1,0,0,0,0,0,0
ISIC_0025234,1,0,0,0,0,0,0
ISIC_0025235,1,0,0,0,0,0,0
ISIC_0025238,1,0,0,0,0,0,0
ISIC_0025248,1,0,0,0,0,0,0
ISIC_0025265,1,0,0,0,0,0,0
ISIC_0025268,1,0,0,0,0,0,0
ISIC_0025277,1,0,0,0,0,0,0
ISIC_0025303,1,0,0,0,0,0,0
ISIC_0025313,1,0,0,0,0,0,0
ISIC_0025316,1,0,0,0,0,0,0
ISIC_0025317,1,0,0,0,0,0,0
ISIC_0025324,1,0,0,0,0,0,0
ISIC_0025363,1,0,0,0,0,0,0
ISIC_0025391,1,0,0,0,0,0,0
ISIC_0025394,1,0,0,0,0,0,0
ISIC_0025409,1,0,0,0,0,0,0
ISIC_0025413,1,0,0,0,0,0,0
ISIC_0025414,1,0,0,0,0,0,0
ISIC_0025439,1,0,0,0,0,0,0
ISIC_0025450,1,0,0,0,0,0,0
ISIC_0025451,1,0,0,0,0,0,0
ISIC_0025472,1,0,0,0,0,0,0
ISIC_0025489,1,0,0,0,0,0,0
ISIC_0025500,1,0,0,0,0,0,0
ISIC_0025512,1,0,0,0,0,0,0
ISIC_0025520,1,0,0,0,0,0,0
ISIC_0025524,1,0,0,0,0,0,0
ISIC_0025531,1,0,0,0,0,0,0
ISIC_0025543,1,0,0,0,0,0,0
ISIC_0025546,1,0,0,0,0,0,0
ISIC_0025550,1,0,0,0,0,0,0
ISIC_0025573,1,0,0,0,0,0,0
ISIC_0025589,1,0,0,0,0,0,0
ISIC_0025592,1,0,0,0,0,0,0
ISIC_0025603,1,0,0,0,0,0,0
ISIC_0025611,1,0,0,0,0,0,0
ISIC_0025616,1,0,0,0,0,0,0
ISIC_0025651,1,0,0,0,0,0,0
ISIC_0025663,1,0,0,0,0,0,0
ISIC_0025674,1,0,0,0,0,0,0
ISIC_0025708,1,0,0,0,0,0,0
ISIC_0025709,1,0,0,0,0,0,0
ISIC_0025724,1,0,0,0,0,0,0
ISIC_0025732,1,0,0,0,0,0,0
ISIC_0025744,1,0,0,0,0,0,0
ISIC_0025748,1,0,0,0,0,0,0
ISIC_0025751,1,0,0,0,0,0,0
ISIC_0025755,1,0,0,0,0,0,0
ISIC_0025766,1,0,0,0,0,0,0
ISIC_0025783,1,0,0,0,0,0,0
ISIC_0025791,1,0,0,0,0,0,0
ISIC_0025800,1,0,0,0,0,0,0
ISIC_0025814,1,0,0,0,0,0,0
ISIC_0025832,1,0,0,0,0,0,0
ISIC_0025835,1,0,0,0,0,0,0
ISIC_0025891,1,0,0,0,0,0,0
ISIC_0025904,1,0,0,0,0,0,0
ISIC_0025927,1,0,0,0,0,0,0
ISIC_0025941,1,0,0,0,0,0,0
ISIC_0025955,1,0,0,0,0,0,0
ISIC_0025963,1,0,0,0,0,0,0
ISIC_0025964,1,0,0,0,0,0,0
ISIC_0025987,1,0,0,0,0,0,0
ISIC_0025996,1,0,0,0,0,0,0
ISIC_0026009,1,0,0,0,0,0,0
ISIC_0026045,1,0,0,0,0,0,0
ISIC_0026081,1,0,0,0,0,0,0
ISIC_0026086,1,0,0,0,0,0,0
ISIC_0026089,1,0,0,0,0,0,0
ISIC_0026094,1,0,0,0,0,0,0
ISIC_0026105,1,0,0,0,0,0,0
ISIC_0026113,1,0,0,0,0,0,0
ISIC_0026115,1,0,0,0,0,0,0
ISIC_0026120,1,0,0,0,0,0,0
ISIC_0026131,1,0,0,0,0,0,0
ISIC_0026150,1,0,0,0,0,0,0
ISIC_0026158,1,0,0,0,0,0,0
ISIC_0026167,1,0,0,0,0,0,0
ISIC_0026188,1,0,0,0,0,0,0
ISIC_0026207,1,0,0,0,0,0,0
ISIC_0026229,1,0,0,0,0,0,0
ISIC_0026236,1,0,0,0,0,0,0
ISIC_0026239,1,0,0,0,0,0,0
ISIC_0026247,1,0,0,0,0,0,0
ISIC_0026258,1,0,0,0,0,0,0
ISIC_0026266,1,0,0,0,0,0,0
ISIC_0026268,1,0,0,0,0,0,0
ISIC_0026281,1,0,0,0,0,0,0
ISIC_0026296,1,0,0,0,0,0,0
ISIC_0026314,1,0,0,0,0,0,0
ISIC_0026352,1,0,0,0,0,0,0
ISIC_0026360,1,0,0,0,0,0,0
ISIC_0026369,1,0,0,0,0,0,0
ISIC_0026420,1,0,0,0,0,0,0
ISIC_0026430,1,0,0,0,0,0,0
ISIC_0026438,1,0,0,0,0,0,0
ISIC_0026458,1,0,0,0,0,0,0
ISIC_0026475,1,0,0,0,0,0,0
ISIC_0026489,1,0,0,0,0,0,0
ISIC_0026500,1,0,0,0,0,0,0
ISIC_0026506,1,0,0,0,0,0,0
ISIC_0026516,1,0,0,0,0,0,0
ISIC_0026531,1,0,0,0,0,0,0
ISIC_0026545,1,0,0,0,0,0,0
ISIC_0026558,1,0,0,0,0,0,0
ISIC_0026571,1,0,0,0,0,0,0
ISIC_0026586,1,0,0,0,0,0,0
ISIC_0026596,1,0,0,0,0,0,0
ISIC_0026604,1,0,0,0,0,0,0
ISIC_0026622,1,0,0,0,0,0,0
ISIC_0026647,1,0,0,0,0,0,0
ISIC_0026652,1,0,0,0,0,0,0
ISIC_0026664,1,0,0,0,0,0,0
ISIC_0026690,1,0,0,0,0,0,0
ISIC_0026694,1,0,0,0,0,0,0
ISIC_0026697,1,0,0,0,0,0,0
ISIC_0026735,1,0,0,0,0,0,0
ISIC_0026738,1,0,0,0,0,0,0
ISIC_0026745,1,0,0,0,0,0,0
ISIC_0026746,1,0,0,0,0,0,0
ISIC_0026754,1,0,0,0,0,0,0
ISIC_0026770,1,0,0,0,0,0,0
ISIC_0026774,1,0,0,0,0,0,0
ISIC_0026796,1,0,0,0,0,0,0
ISIC_0026802,1,0,0,0,0,0,0
ISIC_0026811,1,0,0,0,0,0,0
ISIC_0026823,1,0,0,0,0,0,0
ISIC_0026847,1,0,0,0,0,0,0
ISIC_0026853,1,0,0,0,0,0,0
ISIC_0026868,1,0,0,0,0,0,0
ISIC_0026870,1,0,0,0,0,0,0
ISIC_0026877,1,0,0,0,0,0,0
ISIC_0026892,1,0,0,0,0,0,0
ISIC_0026897,1,0,0,0,0,0,0
ISIC_0026909,1,0,0,0,0,0,0
ISIC_0026916,1,0,0,0,0,0,0
ISIC_0026930,1,0,0,0,0,0,0
ISIC_0026950,1,0,0,0,0,0,0
ISIC_0026954,1,0,0,0,0,0,0
ISIC_0026963,1,0,0,0,0,0,0
ISIC_0026976,1,0,0,0,0,0,0
ISIC_0026989,1,0,0,0,0,0,0
ISIC_0026993,1,0,0,0,0,0,0
ISIC_0026996,1,0,0,0,0,0,0
ISIC_0027021,1,0,0,0,0,0,0
ISIC_0027030,1,0,0,0,0,0,0
ISIC_0027033,1,0,0,0,0,0,0
ISIC_0027043,1,0,0,0,0,0,0
